SOURCE_ROW,TIME,PI,X,Y,RA,DEC,KEV,MISSION,INSTRUMENT,OBSERVATION_ID,RECORD_KEY
72951,456569355.44894713,259,768,799,350.83868,58.836628,0.94535,suzaku,xis,508011020,suzaku/xis/508011020
73137,456569363.4489462,557,877,725,350.77774,58.815193,2.03305,suzaku,xis,508011020,suzaku/xis/508011020
73796,456569379.4489442,598,788,922,350.82748,58.87224,2.1827,suzaku,xis,508011020,suzaku/xis/508011020
75808,456597571.4454956,761,809,746,350.81577,58.821285,2.77765,suzaku,xis,508011020,suzaku/xis/508011020
76402,456597603.4454893,376,820,775,350.8096,58.829678,1.3724,suzaku,xis,508011020,suzaku/xis/508011020
76590,456597603.4454893,734,716,956,350.8678,58.882076,2.6791,suzaku,xis,508011020,suzaku/xis/508011020
76792,456597619.4454862,368,750,801,350.84875,58.837208,1.3432,suzaku,xis,508011020,suzaku/xis/508011020
76896,456597619.4454862,425,631,902,350.91537,58.866425,1.55125,suzaku,xis,508011020,suzaku/xis/508011020
76915,456597619.4454862,423,537,817,350.96793,58.841778,1.54395,suzaku,xis,508011020,suzaku/xis/508011020
77224,456597651.44548,396,916,801,350.7559,58.83718,1.4454,suzaku,xis,508011020,suzaku/xis/508011020
77650,456597667.4459652,267,752,789,350.84763,58.833733,0.97455,suzaku,xis,508011020,suzaku/xis/508011020
77987,456597683.4454738,547,701,787,350.87616,58.83315,1.99655,suzaku,xis,508011020,suzaku/xis/508011020
79105,456597747.4454616,409,731,787,350.85938,58.833153,1.49285,suzaku,xis,508011020,suzaku/xis/508011020
79112,456597747.4454616,338,735,818,350.85715,58.84213,1.2337,suzaku,xis,508011020,suzaku/xis/508011020
79775,456597779.4454555,1213,643,885,350.90866,58.861507,4.42745,suzaku,xis,508011020,suzaku/xis/508011020
79812,456597795.4459408,514,894,714,350.76825,58.812004,1.8761,suzaku,xis,508011020,suzaku/xis/508011020
79952,456597795.4459408,716,736,821,350.8566,58.843,2.6134,suzaku,xis,508011020,suzaku/xis/508011020
80086,456597811.4454495,669,946,808,350.7391,58.839195,2.44185,suzaku,xis,508011020,suzaku/xis/508011020
80318,456597827.4454465,523,1192,688,350.60168,58.80428,1.90895,suzaku,xis,508011020,suzaku/xis/508011020
80405,456597827.4454465,329,807,808,350.81686,58.839233,1.20085,suzaku,xis,508011020,suzaku/xis/508011020
81321,456597875.4454376,783,749,792,350.8493,58.834602,2.85795,suzaku,xis,508011020,suzaku/xis/508011020
82363,456597939.445426,434,806,787,350.8174,58.833153,1.5841,suzaku,xis,508011020,suzaku/xis/508011020
